unix,date,trade,price,open,high,low,close,position_size,balance
1661292000,2022-08-24 00:00:00,SHORT,21526.45508,21526.45508,21783.07617,21195.00586,21395.01953,0.011859390195593175,255.2906303216289
1661464800,2022-08-26 00:00:00,COVER,20260.01953,21596.08594,21804.9082,20199.48242,20260.01953,0.011859390195593175,267.60668582998306
1661551200,2022-08-27 00:00:00,SHORT,20262.48047,20262.48047,20340.77539,19890.52344,20041.73828,0.013157652945043558,266.60668582998306
1662415200,2022-09-06 00:00:00,COVER,18837.66797,19817.72461,20155.26953,18800.17188,18837.66797,0.013157652945043558,282.50033547457554
1663106400,2022-09-14 00:00:00,SHORT,20184.55469,20184.55469,20467.20117,19793.39648,20241.08984,0.013946323800447219,281.50033547457554
1663624800,2022-09-20 00:00:00,COVER,18890.78906,19545.5918,19602.45703,18813.45508,18890.78906,0.013946323800447219,296.5481737737207
1663711200,2022-09-21 00:00:00,SHORT,18891.2832,18891.2832,19674.63086,18290.31445,18547.40039,0.01564468493986267,295.5481737737207
1663797600,2022-09-22 00:00:00,COVER,19206.13792,18534.65039,19456.91016,18415.5918,19206.13792,0.01564468493986267,287.7161471687171
1664056800,2022-09-25 00:00:00,SHORT,18936.31055,18936.31055,19134.73242,18696.46875,18802.09766,0.015141077582756327,286.7161471687171
1664143200,2022-09-26 00:00:00,COVER,19251.915725833333,18803.90039,19274.87305,18721.28516,19251.915725833333,0.015141077582756327,279.11816926874604
1664575200,2022-10-01 00:00:00,SHORT,19431.10547,19431.10547,19471.1543,19231.08203,19312.0957,0.014313038941512476,278.11816926874604
