date,time,open,high,low,close,volume
01/12/2022,00:00,42742.179688,44135.367188,42528.988281,43949.101563,33499938689
01/13/2022,00:00,43946.742188,44278.421875,42447.042969,42591.570313,47691135082
01/14/2022,00:00,42598.871094,43346.6875,41982.617188,43099.699219,23577403399
01/15/2022,00:00,43101.898438,43724.671875,42669.035156,43177.398438,18371348298
01/16/2022,00:00,43172.039063,43436.808594,42691.023438,43113.878906,17902097845
01/17/2022,00:00,43118.121094,43179.390625,41680.320313,42250.550781,21690904261
01/18/2022,00:00,42250.074219,42534.402344,41392.214844,42375.632813,22417209227
01/19/2022,00:00,42374.039063,42478.304688,41242.914063,41744.328125,23091543258
01/20/2022,00:00,41744.027344,43413.023438,40672.824219,40680.417969,20382033940
01/21/2022,00:00,40699.605469,41060.527344,35791.425781,36457.316406,43011992031
01/22/2022,00:00,36471.589844,36688.8125,34349.25,35030.25,39714385405
01/23/2022,00:00,35047.359375,36433.3125,34784.96875,36276.804688,26017975951
01/24/2022,00:00,36275.734375,37247.519531,33184.058594,36654.328125,41856658597
01/25/2022,00:00,36654.804688,37444.570313,35779.429688,36954.003906,26428189594
01/26/2022,00:00,36950.515625,38825.410156,36374.90625,36852.121094,31324598034
01/27/2022,00:00,36841.878906,37148.324219,35629.28125,37138.234375,25041426629
01/28/2022,00:00,37128.445313,37952.878906,36211.109375,37784.332031,22238830523
01/29/2022,00:00,37780.714844,38576.261719,37406.472656,38138.179688,17194183075
01/30/2022,00:00,38151.917969,38266.339844,37437.710938,37917.601563,14643548444
01/31/2022,00:00,37920.28125,38647.261719,36733.574219,38483.125,20734730465
02/01/2022,00:00,38481.765625,39115.132813,38113.664063,38743.273438,20288500328
02/02/2022,00:00,38743.714844,38834.617188,36832.730469,36952.984375,19155189416
02/03/2022,00:00,36944.804688,37154.601563,36375.539063,37154.601563,18591534769
02/04/2022,00:00,37149.265625,41527.785156,37093.628906,41500.875,29412210792
02/05/2022,00:00,41501.480469,41847.164063,41038.097656,41441.164063,19652846215
02/06/2022,00:00,41441.121094,42500.785156,41244.90625,42412.433594,16142097334
02/07/2022,00:00,42406.78125,44401.863281,41748.15625,43840.285156,28641855926
02/08/2022,00:00,43854.652344,45293.867188,42807.835938,44118.445313,33079398868
02/09/2022,00:00,44096.703125,44727.800781,43232.96875,44338.796875,23245887300
02/10/2022,00:00,44347.800781,45661.171875,43402.808594,43565.113281,32142048537
02/11/2022,00:00,43571.128906,43810.832031,42114.539063,42407.9375,26954925781
