date,time,open,high,low,close,volume
2016-01-08,00:00,457.537994,462.93399,447.937988,453.230011,56993000.0
2016-01-09,00:00,453.382996,454.640015,446.889008,447.610992,32278000.0
2016-01-10,00:00,448.238007,448.30899,440.351013,447.990997,35995900.0
2016-01-11,00:00,448.697998,450.661987,443.855011,448.428009,40450000.0
2016-01-12,00:00,448.182007,448.182007,435.690002,435.690002,115607000.0
2016-01-13,00:00,434.665009,435.186005,424.442993,432.371002,173888000.0
2016-01-14,00:00,432.287994,433.324005,427.845001,430.306,43945500.0
2016-01-15,00:00,430.255005,430.255005,364.330994,364.330994,153351008.0
2016-01-16,00:00,365.072998,390.557007,354.914001,387.536011,120352000.0
2016-01-17,00:00,387.152008,390.964996,380.09201,382.299011,45319600.0
2016-01-18,00:00,381.733002,388.104004,376.665009,387.167999,54403900.0
2016-01-19,00:00,387.026001,387.730011,378.971985,380.148987,46819800.0
2016-01-20,00:00,379.73999,425.266998,376.598999,420.230011,121720000.0
2016-01-21,00:00,419.631989,422.877014,406.299988,410.261993,68338000.0
2016-01-22,00:00,409.751007,410.410004,375.282013,382.492004,91546600.0
2016-01-23,00:00,382.43399,394.542999,381.980988,387.490997,56247400.0
2016-01-24,00:00,388.10199,405.484985,387.51001,402.971008,54824800.0
2016-01-25,00:00,402.316986,402.316986,388.553986,391.726013,59062400.0
2016-01-26,00:00,392.002014,397.765991,390.575012,392.153015,58147000.0
2016-01-27,00:00,392.444,396.842987,391.782013,394.971985,47424400.0
2016-01-28,00:00,395.145996,395.502014,379.734985,380.289001,59247900.0
2016-01-29,00:00,380.108002,384.378998,365.451996,379.473999,86125296.0
2016-01-30,00:00,378.86499,380.916992,376.490997,378.255005,30284400.0
2016-01-31,00:00,378.292999,380.346985,367.834991,368.766998,37894300.0
2016-02-01,00:00,369.350006,378.071991,367.957001,373.056,51656700.0
2016-02-02,00:00,372.920013,375.882996,372.920013,374.447998,40378700.0
2016-02-03,00:00,374.645996,374.950012,368.045013,369.949005,45933400.0
2016-02-04,00:00,370.174011,391.608002,369.993011,389.593994,69285504.0
2016-02-05,00:00,388.89801,391.093994,385.571991,386.549011,43825000.0
2016-02-06,00:00,386.588989,386.631012,372.386993,376.522003,49249300.0
2016-02-07,00:00,376.514008,380.871002,374.903015,376.619995,37076300.0
2016-02-08,00:00,376.756989,379.878998,373.334015,373.446991,47671100.0
2016-02-09,00:00,373.423004,377.246002,372.89801,376.028992,55318500.0
2016-02-10,00:00,376.145996,385.483002,375.78299,381.648987,85130896.0
2016-02-11,00:00,382.114014,383.130005,376.398987,379.653992,74375600.0
2016-02-12,00:00,379.686005,384.95401,379.600006,384.263,67042800.0
2016-02-13,00:00,384.640991,391.859985,384.640991,391.859985,61911700.0
2016-02-14,00:00,392.932007,407.230011,392.932007,407.230011,74469800.0
2016-02-15,00:00,407.567993,410.381012,397.748993,400.184998,74070496.0
2016-02-16,00:00,401.432007,408.945007,401.432007,407.488007,73093104.0
2016-02-17,00:00,407.656006,421.166992,406.783997,416.321991,83193600.0
2016-02-18,00:00,416.571991,425.996002,415.638,422.372986,76752600.0
2016-02-19,00:00,422.730011,423.104004,417.604004,420.785004,55711300.0
2016-02-20,00:00,421.601013,441.984009,421.601013,437.164001,93992096.0
2016-02-21,00:00,437.77301,448.04599,429.076996,438.798004,89820704.0
2016-02-22,00:00,438.989014,439.045013,432.916992,437.747986,85385200.0
2016-02-23,00:00,438.255005,439.858002,417.821014,420.735992,85244896.0
2016-02-24,00:00,420.955994,425.549988,413.907013,424.954987,67743696.0
2016-02-25,00:00,425.036987,427.718994,420.415009,424.544006,70798000.0
2016-02-26,00:00,424.628998,432.152008,421.619995,432.152008,61486000.0
2016-02-27,00:00,432.838989,434.230988,428.102997,432.519012,41893600.0
2016-02-28,00:00,432.571014,435.683014,423.820007,433.503998,53033400.0
2016-02-29,00:00,433.437988,441.506989,431.692993,437.696991,60694700.0
2016-03-01,00:00,437.916992,439.653015,432.319,435.122986,74895800.0
2016-03-02,00:00,435.131012,435.916992,423.989014,423.989014,74955296.0
2016-03-03,00:00,423.911987,425.372986,419.411011,421.651001,100484000.0
2016-03-04,00:00,421.835999,425.178009,410.938995,410.938995,90856096.0
2016-03-05,00:00,410.781006,411.256989,394.035004,400.570007,135384992.0
2016-03-06,00:00,400.524994,411.907013,395.778015,407.707001,91212496.0
2016-03-07,00:00,407.756989,415.916992,406.30899,414.321014,85762400.0
2016-03-08,00:00,414.464996,416.243011,411.093994,413.971985,70311696.0
2016-03-09,00:00,413.894012,416.032013,411.605988,414.859985,70012304.0
2016-03-10,00:00,414.743988,417.511993,413.251007,417.131012,81022896.0
2016-03-11,00:00,417.238007,423.925995,417.013,421.690002,73969696.0
2016-03-12,00:00,421.605011,421.795013,410.093994,411.623993,92712896.0
2016-03-13,00:00,411.64801,416.604004,411.641998,414.065002,74322800.0
2016-03-14,00:00,414.200989,416.68399,414.200989,416.437988,95259400.0
2016-03-15,00:00,416.388,418.131012,414.984985,416.829987,66781700.0
2016-03-16,00:00,416.888,417.686005,415.911987,417.010986,65185800.0
2016-03-17,00:00,417.889008,420.997009,417.889008,420.621002,83528600.0
2016-03-18,00:00,420.546997,420.546997,406.136993,409.548004,104940000.0
2016-03-19,00:00,409.265015,410.984009,407.230011,410.444,58423000.0
2016-03-20,00:00,410.401001,414.625,410.401001,413.755005,45947900.0
2016-03-21,00:00,413.417999,413.417999,410.381012,413.307007,61655400.0
2016-03-22,00:00,413.131989,418.375,412.531006,418.088989,66813300.0
2016-03-23,00:00,418.161011,419.268005,417.364014,418.040985,61444200.0
2016-03-24,00:00,418.424011,418.679993,415.485992,416.394012,68346704.0
2016-03-25,00:00,416.507996,418.079987,415.558014,417.177002,52560000.0
2016-03-26,00:00,417.36499,418.987,416.259003,417.945007,44650400.0
2016-03-27,00:00,418.140015,428.796997,417.710999,426.765015,71229400.0
2016-03-28,00:00,426.548004,426.856995,423.292999,424.230988,68522800.0
2016-03-29,00:00,424.303986,426.203003,412.681,416.515991,75411504.0
2016-03-30,00:00,416.834015,416.834015,412.496002,414.81601,66034100.0
2016-03-31,00:00,415.256989,418.368988,415.256989,416.729004,60215200.0
2016-04-01,00:00,416.76001,418.173004,415.830994,417.959991,51235700.0
