unix,data,operation,price,open,high,low,close
1649800800,2022-04-13,HOLD,41166.730469,40123.570313,41430.054688,39712.746094,41166.730469
1649887200,2022-04-14,HOLD,39935.515625,41160.21875,41451.480469,39695.746094,39935.515625
1649973600,2022-04-15,HOLD,40553.464844,39939.402344,40617.722656,39866.832031,40553.464844
1650060000,2022-04-16,HOLD,40424.484375,40552.316406,40633.679688,40078.425781,40424.484375
1650146400,2022-04-17,HOLD,39716.953125,40417.777344,40570.726563,39620.894531,39716.953125
1650232800,2022-04-18,HOLD,40826.214844,39721.203125,40986.320313,38696.191406,40826.214844
1650319200,2022-04-19,HOLD,41502.75,40828.175781,41672.960938,40618.632813,41502.75
1650405600,2022-04-20,HOLD,41374.378906,41501.746094,42126.300781,40961.097656,41374.378906
1650492000,2022-04-21,HOLD,40527.363281,41371.515625,42893.582031,40063.828125,40527.363281
1650578400,2022-04-22,HOLD,39740.320313,40525.863281,40777.757813,39315.417969,39740.320313
1650664800,2022-04-23,HOLD,39486.730469,39738.722656,39935.859375,39352.203125,39486.730469
1650751200,2022-04-24,HOLD,39469.292969,39478.375,39845.925781,39233.539063,39469.292969
1650837600,2022-04-25,HOLD,40458.308594,39472.605469,40491.753906,38338.378906,40458.308594
1650924000,2022-04-26,HOLD,38117.460938,40448.421875,40713.890625,37884.984375,38117.460938
1651010400,2022-04-27,HOLD,39241.121094,38120.300781,39397.917969,37997.3125,39241.121094
1651096800,2022-04-28,HOLD,39773.828125,39241.429688,40269.464844,38941.421875,39773.828125
1651183200,2022-04-29,HOLD,38609.824219,39768.617188,39887.269531,38235.535156,38609.824219
1651269600,2022-04-30,HOLD,37714.875,38605.859375,38771.210938,37697.941406,37714.875
1651356000,2022-05-01,HOLD,38469.09375,37713.265625,38627.859375,37585.789063,38469.09375
