unix,date,trade,price,open,high,low,close
1608073200,2020-16-12 00:00:00,SELL,21310.597656,19418.818359,21458.908203,19298.316406,21310.597656
1608159600,2020-17-12 00:00:00,BUY,21308.351563,21308.351563,23642.660156,21234.675781,22805.162109
1608245999,2020-17-12 23:59:59,SELL,22805.162109,21308.351563,23642.660156,21234.675781,22805.162109
1608246000,2020-18-12 00:00:00,BUY,22806.796875,22806.796875,23238.601563,22399.8125,23137.960938
1608332399,2020-18-12 23:59:59,SELL,23137.960938,22806.796875,23238.601563,22399.8125,23137.960938
1608332400,2020-19-12 00:00:00,BUY,23132.865234,23132.865234,24085.855469,22826.472656,23869.832031
1608418799,2020-19-12 23:59:59,SELL,23869.832031,23132.865234,24085.855469,22826.472656,23869.832031
1608418800,2020-20-12 00:00:00,BUY,23861.765625,23861.765625,24209.660156,23147.710938,23477.294922
1608850800,2020-25-12 00:00:00,SELL,24664.791016,23733.570313,24710.101563,23463.673828,24664.791016
1608937200,2020-26-12 00:00:00,BUY,24677.015625,24677.015625,26718.070313,24522.689453,26437.037109
1609023599,2020-26-12 23:59:59,SELL,26437.037109,24677.015625,26718.070313,24522.689453,26437.037109
1609023600,2020-27-12 00:00:00,BUY,26439.373047,26439.373047,28288.839844,25922.769531,26272.294922
1609110000,2020-28-12 00:00:00,SELL,27084.808594,26280.822266,27389.111328,26207.640625,27084.808594
1609196400,2020-29-12 00:00:00,BUY,27081.810547,27081.810547,27370.720703,25987.298828,27362.4375
1609282799,2020-29-12 23:59:59,SELL,27362.4375,27081.810547,27370.720703,25987.298828,27362.4375
1609282800,2020-30-12 00:00:00,BUY,27360.089844,27360.089844,28937.740234,27360.089844,28840.953125
1609369199,2020-30-12 23:59:59,SELL,28840.953125,27360.089844,28937.740234,27360.089844,28840.953125
1609369200,2020-31-12 00:00:00,BUY,28841.574219,28841.574219,29244.876953,28201.992188,29001.720703
1609455600,2021-01-01 00:00:00,SELL,29374.152344,28994.009766,29600.626953,28803.585938,29374.152344
1609542000,2021-02-01 00:00:00,BUY,29376.455078,29376.455078,33155.117188,29091.181641,32127.267578
1609628399,2021-02-01 23:59:59,SELL,32127.267578,29376.455078,33155.117188,29091.181641,32127.267578
1609628400,2021-03-01 00:00:00,BUY,32129.408203,32129.408203,34608.558594,32052.316406,32782.023438
1609714799,2021-03-01 23:59:59,SELL,32782.023438,32129.408203,34608.558594,32052.316406,32782.023438
1609714800,2021-04-01 00:00:00,BUY,32810.949219,32810.949219,33440.21875,28722.755859,31971.914063
1609801200,2021-05-01 00:00:00,SELL,33992.429688,31977.041016,34437.589844,30221.1875,33992.429688
1609887600,2021-06-01 00:00:00,BUY,34013.613281,34013.613281,36879.699219,33514.035156,36824.363281
1609973999,2021-06-01 23:59:59,SELL,36824.363281,34013.613281,36879.699219,33514.035156,36824.363281
1609974000,2021-07-01 00:00:00,BUY,36833.875,36833.875,40180.367188,36491.191406,39371.042969
1610060399,2021-07-01 23:59:59,SELL,39371.042969,36833.875,40180.367188,36491.191406,39371.042969
1610060400,2021-08-01 00:00:00,BUY,39381.765625,39381.765625,41946.738281,36838.636719,40797.609375
1610146799,2021-08-01 23:59:59,SELL,40797.609375,39381.765625,41946.738281,36838.636719,40797.609375
1610146800,2021-09-01 00:00:00,BUY,40788.640625,40788.640625,41436.351563,38980.875,40254.546875
1612738800,2021-08-02 00:00:00,SELL,46196.464844,38886.828125,46203.929688,38076.324219,46196.464844
1612825200,2021-09-02 00:00:00,BUY,46184.992188,46184.992188,48003.722656,45166.960938,46481.105469
1612998000,2021-11-02 00:00:00,SELL,47909.332031,44898.710938,48463.46875,44187.761719,47909.332031
1613084400,2021-12-02 00:00:00,BUY,47877.035156,47877.035156,48745.734375,46424.976563,47504.851563
1613257200,2021-14-02 00:00:00,SELL,48717.289063,47114.507813,49487.640625,47114.507813,48717.289063
1613343600,2021-15-02 00:00:00,BUY,48696.535156,48696.535156,48875.570313,46347.476563,47945.058594
1613430000,2021-16-02 00:00:00,SELL,49199.871094,47944.457031,50341.101563,47201.304688,49199.871094
1613516400,2021-17-02 00:00:00,BUY,49207.277344,49207.277344,52533.914063,49072.378906,52149.007813
1613602799,2021-17-02 23:59:59,SELL,52149.007813,49207.277344,52533.914063,49072.378906,52149.007813
1613602800,2021-18-02 00:00:00,BUY,52140.972656,52140.972656,52474.105469,51015.765625,51679.796875
1613689200,2021-19-02 00:00:00,SELL,55888.132813,51675.980469,56113.652344,50937.277344,55888.132813
1613775600,2021-20-02 00:00:00,BUY,55887.335938,55887.335938,57505.226563,54626.558594,56099.519531
1613862000,2021-21-02 00:00:00,SELL,57539.945313,56068.566406,58330.570313,55672.609375,57539.945313
1613948400,2021-22-02 00:00:00,BUY,57532.738281,57532.738281,57533.390625,48967.566406,54207.320313
1615590000,2021-13-03 00:00:00,SELL,61243.085938,57343.371094,61683.863281,56217.972656,61243.085938
1615676400,2021-14-03 00:00:00,BUY,61221.132813,61221.132813,61597.917969,59302.316406,59302.316406
