date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
11/18/2015,00:00,334.592987,336.531006,330.640015,334.589996,43783800,0,334.589996,334.87962630329827,330.49114058970633,325.61457922941224,320.77178096109014,316.2012849845563,311.99543474625517,308.1729773754196,304.71734591107315,266.0414867435121,30.63737561185978,1,2
11/19/2015,00:00,334.678986,335.334015,325.27301,326.148987,45011100,0,326.148987,334.04813684584127,330.15712877511356,325.64905715009536,321.0705146299185,316.68653874140716,312.6108065833745,308.87791892932466,305.48276166424915,266.63957132317864,33.460066105320976,1,2
11/20/2015,00:00,326.411011,326.472992,312.21701,322.022003,53152900,0,322.022003,332.9027907652849,329.53134986933566,325.4150536565408,321.12337509492295,316.9468052906068,313.0199890362712,309.3933732066061,306.07344885481166,267.19064029508735,34.94966361314627,1,2
11/21/2015,00:00,322.09201,328.158997,319.595001,326.927002,28200500,0,326.927002,332.33366802573397,329.33101541784833,325.51259871095755,321.44579881187167,317.4336441544796,313.6246417738247,310.08096649262154,306.81821860999696,267.7850319538427,32.183561055401285,1,2
11/22/2015,00:00,326.975006,327.01001,321.259003,324.536011,23439400,0,324.536011,331.59103402328316,328.9621689241677,325.4495930521861,321.61747726676765,317.7801010737733,314.09904913148455,310.647830983107,307.4509969096399,268.3497183125109,34.38994031389849,1,2
11/23/2015,00:00,324.350006,325.118011,321.290009,323.04599,27478900,0,323.04599,330.77722030678,328.50707823769335,325.29452188752896,321.69683908528054,318.036973704321,314.4880465605504,311.13403329749497,308.00796094858134,268.8939598218392,31.05759152485159,1,2
11/24/2015,00:00,323.014008,323.058014,318.118011,320.04599,29362600,0,320.04599,329.7551983728009,327.8562252963323,324.95590692704326,321.6051252472094,318.1349744992321,314.7296962753091,311.48352179563244,308.4378905575606,269.4029352464975,42.415551354405466,1,2
11/25/2015,00:00,320.045013,329.134003,316.769989,328.205994,41666900,0,328.205994,329.6076550992008,327.88313058122986,325.16558996400823,321.97184017791994,318.626243743172,315.31562226333915,312.13930501933316,309.14389425193343,269.98804030872145,59.205361985309416,1,2
11/26/2015,00:00,328.303009,366.756989,328.229004,352.68399,106105000,0,352.68399,331.8054012802293,329.79088899805834,326.9409706114916,323.678070723591,320.2875972191148,316.94033390406355,313.7292926656338,310.6988976715072,270.81088557928143,58.03670862462011,1,2
11/27/2015,00:00,351.860992,363.588989,347.869995,358.041992,55179100,0,358.041992,334.30412420592177,331.9640507674385,328.94748812042764,325.5871774611693,322.1292750133043,318.7273625169304,315.467045580707,312.3897224689534,271.67885678744784,61.27965577346944,1,1
11/28/2015,00:00,357.140991,359.536011,352.171997,357.381012,36816600,0,357.381012,336.501923043453,333.9192016314817,330.78190901588397,327.3535016022155,323.8488719394846,320.407955972716,317.1107305383264,313.9965542379193,272.53161455075684,63.42081431964948,1,1
11/29/2015,00:00,357.471985,371.938995,355.665985,371.294006,40409300,0,371.294006,339.81545475360036,336.7941865829062,333.39559269227857,329.79464073542573,326.1632687229244,322.62039293042403,319.23556487015674,316.04289180085084,273.51432491343587,77.67986281170921,1,1
11/30/2015,00:00,371.437012,382.363007,370.382996,377.321014,71701600,0,377.321014,343.387412777067,339.9116348457596,336.22949084116385,332.4349948056798,328.65876849253783,324.9986808030143,321.5134256203467,318.23139616510616,274.54722729240666,76.52111740666265,1,1
12/01/2015,00:00,377.414001,378.931,356.562988,362.488007,60452200,0,362.488007,345.2065169887749,341.64827885762423,337.923588657863,334.1046065942532,330.3089752489994,326.6286515072311,323.1202719489606,319.8119894092095,275.4222599263131,63.935584685303304,1,1
12/02/2015,00:00,361.845001,362.231995,349.464996,359.187012,54160500,0,359.187012,346.5379927041297,342.99741217626854,339.2954224218718,335.49807356123915,331.7176599685604,328.044232398221,324.5346539117465,321.21824021602345,276.25574004644926,62.16650266275932,1,1
12/03/2015,00:00,359.330994,370.274994,357.411987,361.04599,50714900,0,361.04599,347.9197067323078,344.3857643165556,340.6986848462672,336.9174022522814,333.1483102139964,329.47909142438533,325.96647101324663,322.6406598511655,277.09942412558905,68.4634446208187,1,1
12/04/2015,00:00,361.261993,363.515991,355.756989,363.183014,35784100,0,363.183014,349.3733550435166,345.83170659989753,342.14928672715325,338.37660290493244,334.6134177157527,330.9444793624555,327.425943287237,324.0886010707667,277.9559772586678,72.24606890108493,1,1
12/05/2015,00:00,363.721008,389.785004,363.229004,388.949005,66282200,0,388.949005,353.14246456318165,349.14842186144386,345.16862338991757,341.18618079910283,337.2639341686428,333.4664152597401,329.838612374012,326.4050440682393,279.06038549489995,77.35283571343977,1,1
