date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
11/05/2021,00:00,61460.078125,62541.46875,60844.609375,61125.675781,30605102446,0,61125.675781,60623.57099006766,59885.738674627915,59114.31058735478,58353.69104571792,57622.93966178334,56929.466001711065,56275.8607961223,55662.77775071619,49476.51926447396,51.2656219371568,1,2
11/06/2021,00:00,61068.875,61590.683594,60163.78125,61527.480469,29094934221,0,61527.480469,60709.657607108835,60012.02650496423,59269.99896681577,58530.0126803447,57813.40506701342,57129.37967420189,56481.80666564692,55872.23141922632,49596.42932621054,50.39786098414494,1,2
11/07/2021,00:00,61554.921875,63326.988281,61432.488281,63326.988281,24726754302,0,63326.988281,60958.92719509847,60267.02356465929,59531.74021289218,58796.511324825544,58082.36034574446,57398.84091797572,56750.24516036665,56138.472735718235,49733.05180337263,56.59748191633627,1,2
11/08/2021,00:00,63344.066406,67673.742188,63344.066406,67566.828125,41125608330,0,67566.828125,61588.25109318433,60828.546992377815,60050.13298141527,59283.75114705745,58545.01731058619,57840.92731828112,57174.42488446992,56546.628285335435,49910.5023140356,61.155504387595805,1,1
11/09/2021,00:00,67549.734375,68530.335938,66382.0625,66971.828125,42357991721,0,66971.828125,62100.97271526201,61301.1070795026,60496.69395842074,59710.866534720924,58956.08125275271,58237.92300552977,57558.636776255415,56918.956851037736,50080.266749965594,68.14455345823444,1,1
11/10/2021,00:00,66953.335938,68789.625,63208.113281,64995.230469,48730828378,0,64995.230469,62376.6163108561,61585.27041715626,60786.9221203936,60004.44230884754,59250.6738974477,58531.71898220239,57850.267901461084,57207.395194536395,50228.67434915997,67.79017409281424,1,1
11/11/2021,00:00,64978.890625,65579.015625,64180.488281,64949.960938,35880633236,0,64949.960938,62621.696751536474,61844.092764913476,61055.5052699166,60279.193343800456,59528.68789942586,58810.77298028055,58128.68723622731,57483.915399660094,50375.15481273052,63.34913572812833,1,1
11/12/2021,00:00,64863.980469,65460.816406,62333.914063,64155.941406,36084893887,0,64155.941406,62767.81529005681,62021.927275766284,61255.533407728435,60494.56823614488,59754.407582673375,59043.17160748575,58365.05014484585,57722.20204274366,50512.27706738992,56.26034698163506,1,2
11/13/2021,00:00,64158.121094,64915.675781,63303.734375,64469.527344,30474228777,0,64469.527344,62929.88310471807,62210.20420409196,61462.88785522983,60715.399297692384,59984.41342468931,59279.100117768976,58604.44140755778,57963.17794635996,50651.155179595,58.39372063616348,1,2
11/14/2021,00:00,64455.371094,65495.179688,63647.808594,65466.839844,25122092191,0,65466.839844,63171.49803226873,62460.71463793104,61721.20733837629,60979.368216931696,60251.84885977764,59548.13227977902,58873.55507173199,58231.165871275676,50798.574927499525,63.12603619348427,1,1
11/15/2021,00:00,65521.289063,66281.570313,63548.144531,63557.871094,30558763548,0,63557.871094,63208.29546671933,62545.11128839789,61839.70177422299,61122.61837676882,60413.11823705678,59722.46874996254,59057.25373927192,58421.40534351583,50925.53309831048,57.33980833251818,1,2
11/16/2021,00:00,63721.195313,63721.195313,59016.335938,60161.246094,46844335592,0,60161.246094,62918.100288365116,62361.737042674984,61731.4143109828,61069.208805503884,60400.831791054006,59741.54602579026,59100.54755710439,58483.54251317598,51017.43074005864,41.74669154604264,1,2
