Mode,Date,Price,Holding,Balance,Profit to Initial Balance
Hold Position Short,2020-10-30,13437.874023,0.0084346909963791,109.41100610862348,0.0
Hold Position Closed,2020-10-31,13546.532227,0.0,104.56119881001074,4.561198810010737
Long,2020-10-31,13546.532227,0.00771866903336388,104.56119881001074,0.0
Take Profit Long,2020-11-01,13780.995117,0.00771866903336388,106.37094025852674,6.370940258526744
Short,2020-11-02,13737.032227,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-03,13550.451172,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-04,13950.488281,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-05,14133.733398,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-06,15579.729492,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-07,15565.880859,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-08,14833.753906,0.007743371239200832,106.37094025852674,0.0
Hold Position Short,2020-11-09,15479.595703,0.007743371239200832,106.37094025852674,0.0
Hold Position Closed,2020-11-10,15332.350586,0.0,94.01779796007706,-5.982202039922939
Short,2020-11-10,15332.350586,0.006131988531877486,94.01779796007706,0.0
Take Profit Short,2020-11-11,15290.90918,0.006131988531877486,94.27191618641395,-6.236320266259824
Long,2020-11-12,15701.298828,0.006004083943571572,94.27191618641395,0.0
Hold Position Long,2020-11-13,16276.44043,0.006004083943571572,94.27191618641395,0.0
Hold Position Long,2020-11-14,16317.808594,0.006004083943571572,94.27191618641395,0.0
Hold Position Long,2020-11-15,16068.139648,0.006004083943571572,94.27191618641395,0.0
Hold Position Long,2020-11-16,15955.577148,0.006004083943571572,94.27191618641395,0.0
Hold Position Long,2020-11-17,16685.691406,0.006004083943571572,94.27191618641395,0.0
Take Profit Long,2020-11-18,17645.191406,0.006004083943571572,105.9432104020117,5.943210402011701
Long,2020-11-19,17803.861328,0.005950574903400062,105.9432104020117,0.0
Take Profit Long,2020-11-20,17817.083984,0.005950574903400062,106.0218928069616,6.021892806961603
Long,2020-11-21,18621.316406,0.005693576678220243,106.0218928069616,0.0
Take Profit Long,2020-11-22,18642.232422,0.005693576678220243,106.14097974786047,6.14097974786047
Short,2020-11-23,18370.017578,0.005777946553245289,106.14097974786047,0.0
Hold Position Short,2020-11-24,18365.015625,0.005777946553245289,106.14097974786047,0.0
Hold Position Short,2020-11-25,19104.410156,0.005777946553245289,106.14097974786047,0.0
Hold Position Short,2020-11-26,18729.839844,0.005777946553245289,106.14097974786047,0.0
Hold Position Short,2020-11-27,17153.914063,0.005777946553245289,106.14097974786047,0.0
Take Profit Short,2020-11-28,17112.933594,0.005777946553245289,113.40434382035313,-1.1223843246321934
Long,2020-11-29,17719.634766,0.00639992558074338,113.40434382035313,0.0
Take Profit Long,2020-11-30,18178.322266,0.00639992558074338,116.33990968517037,16.33990968517037
Short,2020-12-01,19633.769531,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-02,18801.744141,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-03,19205.925781,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-04,19446.966797,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-05,18698.384766,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-06,19154.179688,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-07,19343.128906,0.005925500424229787,116.33990968517037,0.0
Hold Position Short,2020-12-08,19191.529297,0.005925500424229787,116.33990968517037,0.0
Hold Position Closed,2020-12-09,18320.884766,0.0,108.56041045319803,8.560410453198031
Long,2020-12-09,18320.884766,0.005925500424229787,108.56041045319803,0.0
Take Profit Long,2020-12-10,18553.298828,0.005925500424229787,109.937580076176,9.937580076176005
Short,2020-12-11,18263.929688,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-12,18051.320313,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-13,18806.765625,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-14,19144.492188,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-15,19246.919922,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-16,19418.818359,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-17,21308.351563,0.006019382572875792,109.937580076176,0.0
Hold Position Short,2020-12-18,22806.796875,0.006019382572875792,109.937580076176,0.0
Hold Position Closed,2020-12-19,23132.865234,0.0,80.62959430212811,-19.370405697871888
Long,2020-12-19,23132.865234,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-20,23861.765625,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-21,23474.455078,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-22,22794.039063,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-23,23781.974609,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-24,23240.203125,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-25,23733.570313,0.003485499677040487,80.62959430212811,0.0
Hold Position Long,2020-12-26,24677.015625,0.003485499677040487,80.62959430212811,0.0
Hold Position Closed,2020-12-27,26439.373047,0.0,92.15442621647146,-7.845573783528536
Short,2020-12-27,26439.373047,0.003485499677040487,92.15442621647146,0.0
Take Profit Short,2020-12-28,26280.822266,0.003485499677040487,92.70705491244149,-8.398202479498565
Long,2020-12-29,27081.810547,0.0034232221937875993,92.70705491244149,0.0
Hold Position Long,2020-12-30,27360.089844,0.0034232221937875993,92.70705491244149,0.0
Hold Position Long,2020-12-31,28841.574219,0.0034232221937875993,92.70705491244149,0.0
Hold Position Long,2021-01-01,28994.009766,0.0034232221937875993,92.70705491244149,0.0
Hold Position Long,2021-01-02,29376.455078,0.0034232221937875993,92.70705491244149,0.0
Take Profit Long,2021-01-03,32129.408203,0.0034232221937875993,109.98610323377095,9.986103233770947
Short,2021-01-04,32810.949219,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-05,31977.041016,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-06,34013.613281,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-07,36833.875,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-08,39381.765625,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-09,40788.640625,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-10,40254.21875,0.003352115859241303,109.98610323377095,0.0
Hold Position Short,2021-01-11,38346.53125,0.003352115859241303,109.98610323377095,0.0
Hold Position Closed,2021-01-12,35516.359375,0.0,100.91725494409087,0.917254944090871
Short,2021-01-12,35516.359375,0.002841430166829729,100.91725494409087,0.0
Take Profit Short,2021-01-13,33915.121094,0.002841430166829729,105.46706170000685,-3.6325518118251097
Long,2021-01-14,37325.109375,0.0028256330246857276,105.46706170000685,0.0
Take Profit Long,2021-01-15,39156.707031,0.0028256330246857276,110.64248452473743,10.642484524737426
Short,2021-01-16,36821.648438,0.0030048215986591795,110.64248452473743,0.0
Hold Position Short,2021-01-17,36163.648438,0.0030048215986591795,110.64248452473743,0.0
Hold Position Short,2021-01-18,35792.238281,0.0030048215986591795,110.64248452473743,0.0
Hold Position Short,2021-01-19,36642.234375,0.0030048215986591795,110.64248452473743,0.0
Hold Position Short,2021-01-20,36050.113281,0.0030048215986591795,110.64248452473743,0.0
Hold Position Short,2021-01-21,35549.398438,0.0030048215986591795,110.64248452473743,0.0
Take Profit Short,2021-01-22,30817.625,0.0030048215986591795,128.68350383009576,-7.398534780620906
Short,2021-01-23,32985.757813,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-24,32064.376953,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-25,32285.798828,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-26,32358.613281,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-27,32564.029297,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-28,30441.041016,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-29,34318.671875,0.0039011837945217794,128.68350383009576,0.0
Hold Position Short,2021-01-30,34295.933594,0.0039011837945217794,128.68350383009576,0.0
Hold Position Closed,2021-01-31,34270.878906,0.0,123.67001024808604,23.670010248086044
Short,2021-01-31,34270.878906,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-01,33114.578125,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-02,33533.199219,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-03,35510.820313,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-04,37475.105469,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-05,36931.546875,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-06,38138.386719,0.0036086034031194464,123.67001024808604,0.0
Hold Position Short,2021-02-07,39250.191406,0.0036086034031194464,123.67001024808604,0.0
Hold Position Closed,2021-02-08,38886.828125,0.0,107.01288018777609,7.012880187776091
Long,2021-02-08,38886.828125,0.002751905602683456,107.01288018777609,0.0
Take Profit Long,2021-02-09,46184.992188,0.002751905602683456,127.09673876204883,27.09673876204883
Short,2021-02-10,46469.761719,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-11,44898.710938,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-12,47877.035156,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-13,47491.203125,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-14,47114.507813,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-15,48696.535156,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-16,47944.457031,0.0027350417574894307,127.09673876204883,0.0
Hold Position Short,2021-02-17,49207.277344,0.0027350417574894307,127.09673876204883,0.0
Hold Position Closed,2021-02-18,52140.972656,0.0,111.58574003382307,11.585740033823072
Short,2021-02-18,52140.972656,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-19,51675.980469,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-20,55887.335938,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-21,56068.566406,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-22,57532.738281,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-23,54204.929688,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-24,48835.085938,0.0021400778380182865,111.58574003382307,0.0
Hold Position Short,2021-02-25,49709.082031,0.0021400778380182865,111.58574003382307,0.0
Hold Position Closed,2021-02-26,47180.464844,0.0,100.9698672000453,0.9698672000453001
Short,2021-02-26,47180.464844,0.0021400778380182865,100.9698672000453,0.0
Hold Position Short,2021-02-27,46344.773438,0.0021400778380182865,100.9698672000453,0.0
Take Profit Short,2021-02-28,46194.015625,0.0021400778380182865,103.08094531195765,-1.1412109118670486
Long,2021-03-01,45159.503906,0.0022825969374358442,103.08094531195765,0.0
Take Profit Long,2021-03-02,49612.105469,0.0022825969374358442,113.2444400032835,13.2444400032835
Long,2021-03-03,48415.816406,0.002338996807440998,113.2444400032835,0.0
Take Profit Long,2021-03-04,50522.304688,0.002338996807440998,118.17150936979336,18.171509369793355
Long,2021-03-05,48527.03125,0.0024351687363894396,118.17150936979336,0.0
Take Profit Long,2021-03-06,48899.230469,0.0024351687363894396,119.07787727161072,19.077877271610717
Long,2021-03-07,48918.679688,0.002434200555515425,119.07787727161072,0.0
Take Profit Long,2021-03-08,51174.117188,0.002434200555515425,124.56806448704104,24.568064487041042
Long,2021-03-09,52272.96875,0.002383030225101593,124.56806448704104,0.0
Take Profit Long,2021-03-10,54824.011719,0.002383030225101593,130.64727698770096,30.647276987700963
Long,2021-03-11,55963.179688,0.0023345220503207973,130.64727698770096,0.0
Take Profit Long,2021-03-12,57821.21875,0.0023345220503207973,134.98491014829733,34.98491014829733
Long,2021-03-13,57343.371094,0.0023539758401546294,134.98491014829733,0.0
Take Profit Long,2021-03-14,61221.132813,0.0023539758401546294,144.1130675486998,44.1130675486998
Short,2021-03-15,59267.429688,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-16,55840.785156,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-17,56825.828125,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-18,58893.078125,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-19,57850.441406,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-20,58332.261719,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-21,58309.914063,0.0024315727593950086,144.1130675486998,0.0
Hold Position Short,2021-03-22,57517.890625,0.0024315727593950086,144.1130675486998,0.0
Hold Position Closed,2021-03-23,54511.660156,0.0,132.54906790472785,32.54906790472785
Long,2021-03-23,54511.660156,0.0024315727593950086,132.54906790472785,0.0
Take Profit Long,2021-03-24,54710.488281,0.0024315727593950086,133.03253295727944,33.03253295727944
Short,2021-03-25,52726.746094,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-26,51683.011719,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-27,55137.566406,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-28,55974.941406,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-29,55947.898438,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-30,57750.132813,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-03-31,58930.277344,0.0025230559974270396,133.03253295727944,0.0
Hold Position Short,2021-04-01,58926.5625,0.0025230559974270396,133.03253295727944,0.0
