Mode,Date,Price,Holding,Balance,Profit to Initial Balance
Short,2015-12-16,465.208008,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-17,454.777008,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-18,455.846985,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-19,463.552002,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-20,462.234009,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-21,442.838013,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-22,437.436005,0.22709180964935527,105.64492840009174,0.0
Hold Position Short,2015-12-23,436.720001,0.22709180964935527,105.64492840009174,0.0
Hold Position Closed,2015-12-24,443.091003,0.0,100.6223377106179,0.6223377106178987
Long,2015-12-24,443.091003,0.22709180964935524,100.6223377106179,0.0
Take Profit Long,2015-12-25,454.855011,0.22709180964935524,103.29384757606738,3.293847576067378
Short,2015-12-26,455.756012,0.22664286341014275,103.29384757606738,0.0
Take Profit Short,2015-12-27,416.514008,0.22664286341014275,112.18776772857966,-5.6000725764449015
Short,2015-12-28,423.342987,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2015-12-29,422.097992,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2015-12-30,433.299988,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2015-12-31,425.875,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2016-01-01,430.721008,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2016-01-02,434.622009,0.2650044318050311,112.18776772857966,0.0
Hold Position Short,2016-01-03,433.578003,0.2650044318050311,112.18776772857966,0.0
