date,time,open,high,low,close,volume,position,initial_balance,profit
2020-10-29,00:00,13271.29883,13612.04785,12980.05957,13437.88281,56499499598.0,0,100.0,5.0
2020-10-30,00:00,13437.87402,13651.5166,13136.19824,13546.52246,30581485201.0,0,100.0,5.0
2020-10-31,00:00,13546.53223,14028.21387,13457.53027,13780.99512,30306464719.0,0,100.0,5.0
2020-11-01,00:00,13780.99512,13862.0332,13628.37793,13737.10938,24453857900.0,0,100.0,5.0
2020-11-02,00:00,13737.03223,13808.32324,13243.16016,13550.48926,30771455468.0,0,100.0,5.0
2020-11-03,00:00,13550.45117,13984.98145,13325.44141,13950.30078,29869951617.0,0,100.0,5.0
2020-11-04,00:00,13950.48828,14218.7666,13580.47168,14133.70703,35116364962.0,0,100.0,5.0
2020-11-05,00:00,14133.7334,15706.4043,14102.08887,15579.84863,40856321439.0,0,100.0,5.0
2020-11-06,00:00,15579.72949,15903.4375,15226.83984,15565.88086,39837841971.0,0,100.0,5.0
2020-11-07,00:00,15565.88086,15737.0957,14423.20313,14833.75391,35024953706.0,0,100.0,5.0
2020-11-08,00:00,14833.75391,15637.32031,14744.11035,15479.56738,26632075029.0,0,100.0,5.0
2020-11-09,00:00,15479.5957,15785.13672,14865.5293,15332.31543,34149115566.0,0,100.0,5.0
2020-11-10,00:00,15332.35059,15450.3291,15124.95996,15290.90234,25574938143.0,0,100.0,5.0
2020-11-11,00:00,15290.90918,15916.26074,15290.00684,15701.33984,29772374934.0,0,100.0,5.0
2020-11-12,00:00,15701.29883,16305.00391,15534.77148,16276.34375,34175758344.0,0,100.0,5.0
2020-11-13,00:00,16276.44043,16463.17773,15992.15234,16317.80859,31599492172.0,0,100.0,5.0
2020-11-14,00:00,16317.80859,16317.80859,15749.19336,16068.13867,27481710135.0,0,100.0,5.0
2020-11-15,00:00,16068.13965,16123.11035,15793.53418,15955.58789,23653867583.0,0,100.0,5.0
2020-11-16,00:00,15955.57715,16816.18164,15880.70606,16716.11133,31526766675.0,0,100.0,5.0
2020-11-17,00:00,16685.69141,17782.91992,16564.54492,17645.40625,39006849170.0,0,100.0,5.0
2020-11-18,00:00,17645.19141,18393.94922,17352.90625,17804.00586,49064800278.0,0,100.0,5.0
2020-11-19,00:00,17803.86133,18119.54688,17382.55469,17817.08984,36985055355.0,0,100.0,5.0
2020-11-20,00:00,17817.08398,18773.22656,17765.79492,18621.31445,36992873940.0,0,100.0,5.0
2020-11-21,00:00,18621.31641,18936.62109,18444.35938,18642.23242,39650210707.0,0,100.0,5.0
2020-11-22,00:00,18642.23242,18688.96875,17671.38477,18370.00195,41280434226.0,0,100.0,5.0
2020-11-23,00:00,18370.01758,18711.42578,18000.79688,18364.12109,42741112308.0,0,100.0,5.0
2020-11-24,00:00,18365.01563,19348.27148,18128.65625,19107.46484,51469565009.0,0,100.0,5.0
2020-11-25,00:00,19104.41016,19390.96484,18581.14648,18732.12109,43710357371.0,0,100.0,5.0
